"CASEID","POINT_X","POINT_Y","YEAR_","LOCATION","CHPTYPE","DAYWEEK","CRASHSEV","VIOLCAT","KILLED","INJURED","WEATHER1","PEDCOL","BICCOL","MCCOL","TRUCKCOL","ETOH","TIMECAT","MONTH_","CRASHTYP","INVOLVE","PED","PRIMARYRD","SECONDRD","DISTANCE","DIRECT","INTERSECT_","PROCDATE","JURIS","DATE_","TIME_","BADGE","JURIDIST","SHIFT","POP","SPECIAL","BEATTYPE","LAPDDIV","BEATCLAS","BEATNUMB","WEATHER2","STATEHW","CALTRANC","CALTRAND","STROUTE","ROUTESUF","POSTPRE","POSTMILE","LOCATYPE","RAMP","SIDEHW","TOWAWAY","PARTIES","PCF","VIOLCODE","VIOL","VIOLSUB","HITRUN","ROADSURF","RDCOND1","RDCOND2","LIGHTING","RIGHTWAY","CHPRDTYP","NOTPRIV","STFAULT","CHPFAULT","SEVINJ","OTHERINJ","COP","PEDKILL","PEDINJ","BICKILL","BICINJ","MCKILL","MCINJURE","RAMP1","RAMP2","CITY","COUNTY","STATE","X_CHP","Y_CHP"
"5496389",-117.762512186,34.09960493,2012,"1938","0","5","4","09",0,5,"B",,,,,,2400,1,"D","C","A","WHITE AV","BONITA AV",0,,"Y","2013-06-20",1938,"2012-01-20",2250,"00624","234","5","4","0","0",,"0","003","-","N",,0,0,,,0,,,,"Y",2,"A","-",21801,"A","N","A","H","-","C","A","0","Y","-","-",0,0,5,0,0,0,0,0,0,"-","-","LA VERNE","LOS ANGELES","CA",0,0
"5496387",-118.53419129,34.4215158674,2012,"1985","0","3","3","04",0,1,"A",,,,,,1200,1,"C","C","A","SOLEDAD CANYON RD","BOUQUET CANYON RD",2108,"E","N","2013-07-09",1900,"2012-01-18",1130,"407364","0647","5","6","0","0",,"0","64T1D","-","N",,0,0,,,0,,,,"Y",2,"A","-",21703,,"N","A","H","-","A","D","0","Y","A","01",0,1,0,0,0,0,0,0,0,"-","-","SANTA CLARITA","LOS ANGELES","CA",0,0
"5496385",-117.76912479,34.114605835,2012,"1938","0","1","3","09",0,3,"B",,,,,,1500,1,"D","C","A","FOOTHILL BL","B ST",0,,"Y","2013-10-15",1938,"2012-01-16",1332,"676","213","5","4","0","0",,"0","002","-","Y","LA",7,66,"-","-",1.271,"I","5","E","Y",2,"A","-",21802,"A","N","A","H","-","A","A","0","Y","-","-",0,2,1,0,0,0,0,0,0,"-","-","LA VERNE","LOS ANGELES","CA",0,0
"5496377",-117.776342848,34.1147078276,2012,"1938","0","4","4","09",0,1,"A",,,,,,2100,1,"B","C","A","WHEELER AV","ANCONA DR",16,"N","N","2013-06-20",1938,"2012-01-12",2038,"712","214","5","4","0","0",,"0","002","-","N",,0,0,,,0,,,,"N",2,"A","-",21804,"A","N","A","H","-","C","A","0","Y","-","-",0,0,1,0,0,0,0,0,0,"-","-","LA VERNE","LOS ANGELES","CA",0,0
"5496375",-118.512292275,34.4425849702,2012,"1985","0","4","4","12",0,1,"A",,,,,,900,1,"D","C","A","BOUQUET CANYON RD","HASKELL CANYON RD",0,,"Y","2013-08-15",1900,"2012-01-19",800,"407364","0641","5","6","0","0",,"0","64T1D","-","N",,0,0,,,0,,,,"Y",2,"A","-",21453,"A","N","A","H","-","A","A","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","SANTA CLARITA","LOS ANGELES","CA",0,0
"5496371",-118.476702197,34.390424914,2012,"1985","0","3","4","09",0,1,"A",,,"Y",,,1800,1,"D","C","A","GOLDEN VALLEY RD","RT 14",75,"E","N","2013-10-15",1900,"2012-01-11",1720,"502210","0634","5","6","0","0",,"0","63T1","-","Y","LA",7,14,"-","R",29.542,"R","4","S","Y",2,"A","-",21801,"A","N","A","H","-","D","A","0","Y","A","01",0,0,1,0,0,0,0,0,1,"-","-","SANTA CLARITA","LOS ANGELES","CA",0,0
"5496367",-118.574622215,34.404924909,2012,"1985","0","1","4","04",0,2,"B",,,,,,1200,1,"C","C","A","VALENCIA BL","RT 5",20,"E","N","2013-10-15",1900,"2012-01-16",1027,"513460","0621","5","6","0","0",,"0","62T1","-","Y","LA",7,5,"-","R",52.296,"R","4","N","Y",2,"A","-",21703,,"N","A","H","-","A","A","0","Y","A","01",0,0,2,0,0,0,0,0,0,"-","NF","SANTA CLARITA","LOS ANGELES","CA",0,0
"5496365",-117.774653005,34.11644575,2012,"1938","0","4","3","11",0,1,"A","Y",,,,,2100,1,"G","B","D","FOOTHILL BL","BIXBY DR",0,,"Y","2013-10-15",1938,"2012-01-05",2056,"676","216","5","4","0","0",,"0","003","-","Y","LA",7,66,"-","-",0.93,"I","5","E","N",2,"A","-",21954,"A","N","A","H","-","C","D","0","Y","N","60",0,1,0,0,1,0,0,0,0,"-","-","LA VERNE","LOS ANGELES","CA",0,0
"5496361",-118.108906005,33.9821960414,2012,"1954","0","3","3","11",0,1,"A","Y",,,,,1500,1,"G","B","E","PARAMOUNT BL","REX RD",210,"N","N","2013-06-20",1900,"2012-01-11",1340,"90627","1516","5","5","0","0",,"0","151T1","-","N",,0,0,,,0,,,,"N",2,"A","-",21954,"A","F","A","H","-","A","D","0","Y","N","60",0,1,0,0,1,0,0,0,0,"-","-","PICO RIVERA","LOS ANGELES","CA",0,0
"5496360",-118.55658236,34.3829848818,2012,"1985","0","5","3","12",0,1,"A",,"Y",,,,900,1,"D","G","A","WILEY CANYON RD","TOURNAMENT RD",0,,"Y","2013-07-09",1900,"2012-01-20",815,"471277","0624","5","6","0","0",,"0","62T1","-","N",,0,0,,,0,,,,"N",2,"A","-",21453,"A","N","A","H","-","A","A","0","Y","L","04",0,1,0,0,0,0,1,0,0,"-","-","SANTA CLARITA","LOS ANGELES","CA",0,0
